pldi15-61,1,1
pldi15-312,1,2
pldi15-74,1,3
pldi15-172,2,1
pldi15-186,2,2
pldi15-245,2,3
pldi15-181,2,4
pldi15-73,3,1
pldi15-279,3,3
pldi15-68,3,2
pldi15-195,3,4
pldi15-37,4,3
pldi15-197,4,1
pldi15-188,4,2
pldi15-205,5,1
pldi15-114,5,2
pldi15-231,5,3
pldi15-199,5,4
pldi15-142,6,1
pldi15-150,6,2
pldi15-9,6,3
pldi15-117,6,4
pldi15-102,7,1
pldi15-51,7,2
pldi15-152,7,3
pldi15-79,7,4
pldi15-267,8,1
pldi15-134,8,2
pldi15-194,8,3
pldi15-60,8,4
pldi15-182,9,1
pldi15-58,9,2
pldi15-236,9,3
pldi15-107,9,4
pldi15-92,10,2
pldi15-143,10,1
pldi15-309,10,3
pldi15-103,10,4
pldi15-78,11,1
pldi15-100,11,2
pldi15-113,11,3
pldi15-193,11,4
pldi15-155,12,1
pldi15-41,12,2
pldi15-227,12,3
pldi15-196,12,4
pldi15-235,13,1
pldi15-252,13,2
pldi15-249,13,3
pldi15-30,13,4
pldi15-130,14,4
pldi15-66,14,2
pldi15-248,14,3
pldi15-71,14,1
pldi15-109,15,1
pldi15-64,15,2
pldi15-115,15,3
pldi15-288,15,4
